filename,mean,std,bright_ratio,dark_ratio,predicted_sequence
50505686.3.13.dcm,70.73,35.99,0.0792,0.0013,UNKNOWN
50505686.3.8.dcm,86.58,31.22,0.1292,0.0004,UNKNOWN
50505686.3.9.dcm,83.97,32.17,0.115,0.0003,UNKNOWN
50354281.2.24.dcm,44.17,56.61,0.0693,0.6433,DWI
50354281.2.25.dcm,43.79,56.9,0.072,0.6497,DWI
50109440.0.13.dcm,26.11,43.76,0.0497,0.6661,UNKNOWN
50109440.0.14.dcm,23.48,40.11,0.0377,0.6818,UNKNOWN
50109440.0.15.dcm,22.15,39.75,0.0399,0.7038,UNKNOWN
50109440.0.16.dcm,22.68,42.3,0.0508,0.7239,UNKNOWN
50109440.0.17.dcm,22.17,43.02,0.0543,0.7427,UNKNOWN
50109440.2.13.dcm,26.55,46.54,0.0545,0.7356,DWI
50109440.2.14.dcm,17.15,30.12,0.0149,0.7558,UNKNOWN
50109440.2.15.dcm,18.39,33.97,0.0254,0.7715,UNKNOWN
50109440.2.16.dcm,22.25,43.29,0.0543,0.7874,UNKNOWN
50109440.2.17.dcm,20.81,43.31,0.0545,0.8103,UNKNOWN
50109440.3.13.dcm,21.82,38.73,0.0149,0.7758,UNKNOWN
50109440.3.14.dcm,21.97,40.28,0.0221,0.7788,UNKNOWN
50109440.3.15.dcm,18.03,35.4,0.0131,0.8038,UNKNOWN
50109440.3.16.dcm,17.81,37.31,0.0164,0.8207,UNKNOWN
50109440.3.17.dcm,14.46,32.18,0.0088,0.8461,ADC
50503750.4.33.dcm,37.41,49.6,0.0404,0.628,UNKNOWN
50503750.4.34.dcm,37.2,50.13,0.0409,0.6325,UNKNOWN
50503750.4.35.dcm,36.95,50.2,0.0413,0.637,UNKNOWN
50503750.4.37.dcm,36.38,50.19,0.0446,0.6474,UNKNOWN
50067261.1.11.dcm,17.62,18.92,0.0031,0.7754,ADC
50067261.1.12.dcm,17.41,22.36,0.0022,0.7251,ADC
50067261.1.14.dcm,21.57,20.94,0.0017,0.7301,ADC
50067261.1.40.dcm,27.67,40.77,0.0439,0.7261,UNKNOWN
50067261.1.42.dcm,54.53,61.86,0.2255,0.6978,DWI
50067261.1.9.dcm,14.97,19.77,0.0031,0.7738,ADC
50067261.2.13.dcm,34.11,52.26,0.0787,0.6504,DWI
50067261.2.3.dcm,38.83,49.03,0.0645,0.5431,DWI
50067261.2.4.dcm,42.26,52.22,0.0922,0.5199,DWI
50425406.2.19.dcm,93.04,61.22,0.4645,0.2146,DWI
50425406.2.33.dcm,91.59,61.58,0.4362,0.2146,DWI
50425406.2.34.dcm,91.21,61.5,0.4321,0.2146,DWI
50425406.2.49.dcm,91.8,60.82,0.4534,0.2146,DWI
50425406.2.59.dcm,91.79,61.0,0.4501,0.2146,DWI
50425406.2.7.dcm,93.41,61.37,0.4686,0.2146,DWI
50425406.2.87.dcm,91.54,61.22,0.4431,0.2146,DWI
50425406.2.96.dcm,92.52,61.02,0.4609,0.2146,DWI
50425406.2.97.dcm,92.36,61.04,0.4573,0.2146,DWI
50419553.0.12.dcm,31.68,34.68,0.0037,0.6906,ADC
50419553.0.14.dcm,32.15,36.2,0.0086,0.6956,ADC
50419553.0.20.dcm,22.72,30.65,0.015,0.6804,UNKNOWN
50419553.0.25.dcm,32.94,42.64,0.0462,0.6579,UNKNOWN
50419553.0.33.dcm,35.37,48.17,0.0674,0.6726,DWI
50419553.0.40.dcm,29.01,33.29,0.0057,0.7103,ADC
50419553.0.41.dcm,41.19,44.31,0.0794,0.6716,UNKNOWN
50419553.0.9.dcm,24.87,32.63,0.0175,0.674,UNKNOWN
50419553.1.10.dcm,30.77,43.48,0.0443,0.5838,UNKNOWN
50419553.1.16.dcm,30.22,44.13,0.0454,0.5995,UNKNOWN
50419553.1.23.dcm,31.02,42.24,0.0412,0.5707,UNKNOWN
50419553.1.7.dcm,30.77,42.2,0.0418,0.5716,UNKNOWN
50502147.2.14.dcm,87.84,58.79,0.3756,0.2146,DWI
50502147.2.15.dcm,87.37,58.43,0.374,0.2146,DWI
50502147.2.17.dcm,87.26,58.49,0.373,0.2146,DWI
50296583.0.12.dcm,23.94,41.63,0.0639,0.7224,UNKNOWN
50296583.0.13.dcm,26.56,37.11,0.0248,0.7318,UNKNOWN
50296583.0.14.dcm,13.65,24.72,0.0018,0.8353,ADC
50296583.0.15.dcm,23.02,32.88,0.0141,0.7569,UNKNOWN
50296583.0.36.dcm,18.66,32.76,0.0219,0.755,UNKNOWN
50296583.0.37.dcm,25.62,36.96,0.0275,0.7486,UNKNOWN
50296583.0.40.dcm,18.23,33.64,0.0304,0.7715,UNKNOWN
50296583.0.41.dcm,23.85,33.56,0.0108,0.7564,UNKNOWN
50296583.1.19.dcm,29.5,54.92,0.0991,0.7163,DWI
50296583.1.21.dcm,27.29,53.79,0.0972,0.7348,DWI
50296583.1.6.dcm,31.04,56.87,0.1115,0.7082,DWI
50296583.1.7.dcm,29.91,56.84,0.1055,0.7164,DWI
50444983.2.124.dcm,41.96,54.73,0.0578,0.6429,DWI
50444983.2.9.dcm,42.19,54.77,0.057,0.6409,DWI
50141591.0.21.dcm,19.71,33.43,0.0221,0.7708,UNKNOWN
50141591.0.37.dcm,14.0,21.89,0.0024,0.8354,ADC
50141591.1.0.dcm,30.93,48.74,0.0639,0.6402,DWI
